item,cond,stimuli
31,1,"Rhiannon had recently secured her first job in the Music Use Legal@Permission (MULP) department at the media centre. Although she had a@bachelor's degree in contract negotiations, she thought that working@in the MULP department would give her a chance to make connections with@those who would be able to provide work for her. Since, she hoped to be@an actor, the MULP department held very few prospects for her in the@long term, but it would do for now. When she started, Rhiannon realised@that the MULP department was a social department and they often went out@for lunch and after-work drinks. She soon came to the realisation that@working for MULP wouldn't be as bad as she initially thought."
31,2,"Rhiannon had recently secured her first job in the Mastered Urban Logo@Protocol (MULP) department at the media centre. Although she had a@bachelor's degree in contract negotiations, she thought that working@in the MULP department would give her a chance to make connections with@those who would be able to provide work for her. Since, she hoped to be@an actor, the MULP department held very few prospects for her in the@long term, but it would do for now. When she started, Rhiannon realised@that the MULP department was a social department and they often went out@for lunch and after-work drinks. She soon came to the realisation that@working for MULP wouldn't be as bad as she initially thought."
32,1,"The experienced linguist calculated young readers' Sentence Like@Expression Percentage (SLEP) using the well-defined standardised@procedure. The linguist was interested in how SLEP score changes as@children develop from novice to expert readers. While it is well@established that SLEP correlates with speech development, it is unclear@how it links to reading development. Generally, SLEP is measured by@observing natural speech used in conversation between aged-matched@individuals. However, if there is any atypicality in their language@development, they are matched on language proficiency. The score@produced using the SLEP is then converted from a raw score to a@t-score. This may then be converted to a standardised score using@normed data."
32,2,"The experienced linguist calculated young readers' Singular Lexeme@Estimation Proxy (SLEP) using the well-defined standardised@procedure. The linguist was interested in how SLEP score changes as@children develop from novice to expert readers. While it is well@established that SLEP correlates with speech development, it is unclear@how it links to reading development. Generally, SLEP is measured by@observing natural speech used in conversation between aged-matched@individuals. However, if there is any atypicality in their language@development, they are matched on language proficiency. The score@produced using the SLEP is then converted from a raw score to a@t-score. This may then be converted to a standardised score using@normed data."
33,1,"As a mathematic tool for statistical inference, the Basic Order@Confidence Score (BOCS) is a very effective tool for understanding the@extent to which your data supports or opposes a theory. Used on@reaction time data, the BOCS calculates the temporal space between@data points and provides an index of dispersion. The BOCS can be@calculated in typical statistical packages such as SPSS, R, and@MATLAB with many websites providing syntax for you to do so. Given@that the BOCS is a recent measure reported in the literature, there@is current debate on its utility in cognitive science as very few@understand the BOCS as a measure. In time, it is expected that this@will become a valuable tool in data analysis."
33,2,"As a mathematic tool for statistical inference, the Bayes' Ordinal@Causation Stat (BOCS) is a very effective tool for understanding the@extent to which your data supports or opposes a theory. Used on@reaction time data, the BOCS calculates the temporal space between@data points and provides an index of dispersion. The BOCS can be@calculated in typical statistical packages such as SPSS, R, and@MATLAB with many websites providing syntax for you to do so. Given@that the BOCS is a recent measure reported in the literature, there@is current debate on its utility in cognitive science as very few@understand the BOCS as a measure. In time, it is expected that this@will become a valuable tool in data analysis."
34,1,"The high judge had ruled that the Temporary Account Background@Evidence (TABE) was insufficient to allow the jury to reach a fair@decision. This meant that the case was suspended for the rest of the@day so that the prosecution could take time to gather further@information for the trial. Verification of TABE is notoriously@difficult to find as it relies on third parties, such as private@investors, to reveal information about the defence to the prosecution.@Therefore, cases in which TABE is required sometimes last for several@months. In fact, it is common amongst judges to joke that getting a@case where TABE is required is easy money for those involved given the@hours required; however, some judges refuse cases where TABE is necessary."
34,2,"The high judge had ruled that the Tribunal Arbitration Barring@Exhibit (TABE) was insufficient to allow the jury to reach a fair@decision. This meant that the case was suspended for the rest of the@day so that the prosecution could take time to gather further@information for the trial. Verification of TABE is notoriously@difficult to find as it relies on third parties, such as private@investors, to reveal information about the defence to the prosecution.@Therefore, cases in which TABE is required sometimes last for several@months. In fact, it is common amongst judges to joke that getting a@case where TABE is required is easy money for those involved given the@hours required; however, some judges refuse cases where TABE is necessary."
35,1,"At the University, the Behavioural Nutrition and Food Sciences group@had recently completed a systematic review looking at the effectiveness@of the Outstanding Daily Iron Factor (ODIF) protocol outlined in a@previous paper. The review came about because there was a lot of@uncertainty about the effectiveness of the ODIF protocol in promoting a@healthy lifestyle. The review included 40 published articles looking@at the implementation of the ODIF protocol in adults of several ethnic and@social backgrounds from around the globe. Overall, the review indicates@that the ODIF protocol has very subtle effects on cognition and physical@health. Thus, the World Health Organisation have ruled that ODIF protocol@should be reviewed or disbanded in the future. Such a claim was a bold move."
35,2,"At the University, the Behavioural Nutrition and Food Sciences group@had recently completed a systematic review looking at the effectiveness@of the Optimal Dietary Induced Folate (ODIF) protocol outlined in a@previous paper. The review came about because there was a lot of@uncertainty about the effectiveness of the ODIF protocol in promoting a@healthy lifestyle. The review included 40 published articles looking@at the implementation of the ODIF protocol in adults of several ethnic and@social backgrounds from around the globe. Overall, the review indicates@that the ODIF protocol has very subtle effects on cognition and physical@health. Thus, the World Health Organisation have ruled that ODIF protocol@should be reviewed or disbanded in the future. Such a claim was a bold move."
36,1,"Alethea really enjoyed her first lecture of the term. She had learned@about Cell Response Involved Disease (CRID), which is a lesser known@illness of the urinary system. What she found the most interesting@about the CRID lecture was that her professor had helped develop a@treatment for CRID that involves regenerating cells in the urinary system.@She was very impressed by his experience as she expected lectures to@be taught from a textbook rather than practice. When Alethea went on@to read about CRID, she did not find it as interesting as the lecture@because the textbook was very theoretical. This made her value her@lecturer and she took the opportunity to email him with more questions@about CRID and other related illnesses."
36,2,"Alethea really enjoyed her first lecture of the term. She had learned@about Chronic Renal Immuno Disorder (CRID), which is a lesser known@illness of the urinary system. What she found the most interesting@about the CRID lecture was that her professor had helped develop a@treatment for CRID that involves regenerating cells in the urinary system.@She was very impressed by his experience as she expected lectures to@be taught from a textbook rather than practice. When Alethea went on@to read about CRID, she did not find it as interesting as the lecture@because the textbook was very theoretical. This made her value her@lecturer and she took the opportunity to email him with more questions@about CRID and other related illnesses."
37,1,"Rachel logged into the Typical Reporter Organised Paper (TROP)@website to sign the documents and relinquish her latest draft to the@editorial board. The TROP website is a typical file sharing website@which is used to share files in the journalism community. Given that@it was free to use, the TROP server often crashes. Before beginning to@use the TROP, the publishing company preferred papers to be sent in@via mail; however, this new decision would save the company money in@a time of severe economic hardship. Over the next seven months, the@publishing company would assess the effectiveness of the TROP and would@review clients' experiences of using the service."
37,2,"Rachel logged into the Tabloid Revision Orientated Portal (TROP)@website to sign the documents and relinquish her latest draft to the@editorial board. The TROP website is a typical file sharing website@which is used to share files in the journalism community. Given that@it was free to use, the TROP server often crashes. Before beginning to@use the TROP, the publishing company preferred papers to be sent in@via mail; however, this new decision would save the company money in@a time of severe economic hardship. Over the next seven months, the@publishing company would assess the effectiveness of the TROP and would@review clients' experiences of using the service."
38,1,"Amanda checked her emails and saw that IT had replied to her question@concerning the Automatic Security Incident Measure (ASIM) report that@she had received this morning. The ASIM report revealed that her@firewall had been suspended and during that time several viruses had@been installed on her machine. The ASIM score was so high that IT were@unable to solve the issue remotely. Instead, they had to put the@machine into quarantine. In the e-mail, the man from IT noted that@many firewalls had been suspended recently, leading to many computers@being infected and several of them needing to be quarantined as they@were provided with a high ASIM score. They assured Amanda that every@attempt was being made to reduce the ASIM score."
38,2,"Amanda checked her emails and saw that IT had replied to her question@concerning the Authentic Server Intrusive Malware (ASIM) report that@she had received this morning. The ASIM report revealed that her@firewall had been suspended and during that time several viruses had@been installed on her machine. The ASIM score was so high that IT were@unable to solve the issue remotely. Instead, they had to put the@machine into quarantine. In the e-mail, the man from IT noted that@many firewalls had been suspended recently, leading to many computers@being infected and several of them needing to be quarantined as they@were provided with a high ASIM score. They assured Amanda that every@attempt was being made to reduce the ASIM score."
39,1,"Following her completion of a Master's degree in excursion planning,@Lisa decided to undertake a diploma in worldwide travel which was@accredited by the International Travel Advice Network (ITAN) and would@be taught via distance learning. She really hoped that successful@completion of an ITAN approved course would widen her career prospects as@she had found getting a job near impossible with her limited experience.@The ITAN stated on their website that almost all of their graduates ended@up in full-time employment following the completion of their diploma.@While she was sceptical of this statistic, she knew that there were@benefits to completing the ITAN accredited course. She was pleased to@know that the ITAN did not charge course fees until course completion."
39,2,"Following her completion of a Master's degree in excursion planning,@Lisa decided to undertake a diploma in worldwide travel which was@accredited by the Individualised Tourism Audit Notary (ITAN) and would@be taught via distance learning. She really hoped that successful@completion of an ITAN approved course would widen her career prospects as@she had found getting a job near impossible with her limited experience.@The ITAN stated on their website that almost all of their graduates ended@up in full-time employment following the completion of their diploma.@While she was sceptical of this statistic, she knew that there were@benefits to completing the ITAN accredited course. She was pleased to@know that the ITAN did not charge course fees until course completion."
40,1,"The recently published paper included an in-depth discussion of the@Guaranteed Average Achievement Model (GAAM) which had recently@revolutionised the field of Experimental Social Psychology. Written by@an academic group at the University of Southampton, the paper uses@converging evidence from the field to support the development and@validity of the GAAM. The GAAM not only consolidates previous work,@it adds to it greatly. In an interview with the media, Dr Mann stated@that the development of the GAAM will have implications not only for@those interested in social psychology, but also clinical psychology.@This is because the GAAM takes into account the link between typical@behaviour and the behaviour of vulnerable groups in the community."
40,2,"The recently published paper included an in-depth discussion of the@Geriatric Affective Aggression Modules (GAAM) which had recently@revolutionised the field of Experimental Social Psychology. Written by@an academic group at the University of Southampton, the paper uses@converging evidence from the field to support the development and@validity of the GAAM. The GAAM not only consolidates previous work,@it adds to it greatly. In an interview with the media, Dr Mann stated@that the development of the GAAM will have implications not only for@those interested in social psychology, but also clinical psychology.@This is because the GAAM takes into account the link between typical@behaviour and the behaviour of vulnerable groups in the community."
41,1,"The Computing Languages Advanced Course (CLAC) provides an opportunity@for experienced computer users to further their knowledge in the@field of computing. Employers are often looking for more than just@basic computer skills and so the CLAC focuses on producing a more@employable individual. The CLAC lasts a duration of 1 year and at the@end of the course a Level 2 Advanced Computing Certificate is awarded@to successful candidates. Individuals who have graduated from the@CLAC have often found employment with a starting salary of £25k a year."
42,1,"The North Accra Police Organisation (NAPO) is a law enforcement agency@of the city of Accra in Ghana. Established in 1988, NAPO initially@began with 12 officers. Kojo Fifi was elected as the first Chief of@Police in the NAPO by the local city council. In recent years, NAPO@have been responsible for the capture and arrest of several of the@most wanted criminals in Ghana."
