item	Cond	font_size	line_length	Line1	Line2	Whole_sentence
44	1	0,295	16	The light that came from the sea could still be seen,	though the ship had already departed.	The light that came from the sea could still be seen, though the ship had already departed.
44	2	0,394	16	The light by the sea could still be seen,	though the ship had already departed.	The light by the sea could still be seen, though the ship had already departed.
44	3	0,295	26	The light that glimmered faintly near the two old trees by the sea could still be seen,	though the ship had already departed.	The light that glimmered faintly near the two old trees by the sea could still be seen, though the ship had already departed.
44	4	0,394	26	The light that shone faintly near the old tree could still be seen,	though the ship had already departed.	The light that shone faintly near the old tree could still be seen, though the ship had already departed.
45	1	0,295	16	The room behind the bathroom was recently painted blue	in preparation for the new tenants.	The room behind the bathroom was recently painted blue in preparation for the new tenants.
45	2	0,394	16	The small room was recently painted blue	in preparation for the new tenants.	The small room was recently painted blue in preparation for the new tenants.
45	3	0,295	26	The small room behind the stairs, which was previously unused, was recently painted blue	in preparation for the new tenants.	The small room behind the stairs, which was previously unused, was recently painted blue in preparation for the new tenants.
45	4	0,394	26	The small room behind the mahogany stairs was recently painted blue	in preparation for the new tenants.	The small room behind the mahogany stairs was recently painted blue in preparation for the new tenants.
46	1	0,295	16	A mother bird knows that she has to feed her offspring	and protect them from different types of predators.	A mother bird knows that she has to feed her offspring and protect them from different types of predators.
46	2	0,394	16	A mother bird needs to feed her offspring	and protect them from different types of predators.	A mother bird needs to feed her offspring and protect them from different types of predators.
46	3	0,295	26	A mother hummingbird usually knows without experience that she has to feed her offspring	and protect them from different types of predators.	A mother hummingbird usually knows without experience that she has to feed her offspring and protect them from different types of predators.
46	4	0,394	26	A mother bird intuitively knows that she has to feed her offspring	and protect them from different types of predators.	A mother bird intuitively knows that she has to feed her offspring and protect them from different types of predators.
47	1	0,295	16	That evening the young women came to the wedding party	in good spirits and sat down to have dinner.	That evening the young women came to the wedding party in good spirits and sat down to have dinner.
47	2	0,394	16	That evening he came to the wedding party	in good spirits and sat down to have dinner.	That evening he came to the wedding party in good spirits and sat down to have dinner.
47	3	0,295	26	That evening Mr. White, his wife, and their two young daughters came to the wedding party	in good spirits and sat down to have dinner.	That evening Mr. White, his wife, and their two young daughters came to the wedding party in good spirits and sat down to have dinner.
47	4	0,394	26	That evening Mr. White and his daughters came to the wedding party	in good spirits and sat down to have dinner.	That evening Mr. White and his daughters came to the wedding party in good spirits and sat down to have dinner.
48	1	0,295	16	I ended up spending a lot of time looking at the screen	that day as I had to do many assignments on my laptop.	I ended up spending a lot of time looking at the screen that day as I had to do many assignments on my laptop.
48	2	0,394	16	I spent a long time looking at the screen	that day as I had to do many assignments on my laptop.	I spent a long time looking at the screen that day as I had to do many assignments on my laptop.
48	3	0,295	26	I had other things that I wanted to do, but I spent a lot of time looking at the screen	that day as I had to do many assignments on my laptop.	I had other things that I wanted to do, but I spent a lot of time looking at the screen that day as I had to do many assignments on my laptop.
48	4	0,394	26	I had other plans, but I spent a lot of time looking at the screen	that day as I had to do many assignments on my laptop.	I had other plans, but I spent a lot of time looking at the screen that day as I had to do many assignments on my laptop.
49	1	0,295	16	The old expert witness was well known around the world	for her great expertise in forensic medicine.	The old expert witness was well known around the world for her great expertise in forensic medicine.
49	2	0,394	16	The woman was well known around the world	for her great expertise in forensic medicine.	The woman was well known around the world for her great expertise in forensic medicine.
49	3	0,295	26	The expert witness, who was invited by the defence team, was well known around the world	for her great expertise in forensic medicine.	The expert witness, who was invited by the defence team, was well known around the world for her great expertise in forensic medicine.
49	4	0,394	26	The witness invited by the defence was well known around the world	for her great expertise in forensic medicine.	The witness invited by the defence was well known around the world for her great expertise in forensic medicine.
50	1	0,295	16	The board of directors approved the new budget for next	year in order to increase confidence among their investors.	The board of directors approved the new budget for next year in order to increase confidence among their investors.
50	2	0,394	16	The men approved the new budget for next	year in order to increase confidence among their investors.	The men approved the new budget for next year in order to increase confidence among their investors.
50	3	0,295	26	The CEO hosted a meeting with the board of directors to approve the new budget for next	year in order to increase confidence among their investors.	The CEO hosted a meeting with the board of directors to approve the new budget for next year in order to increase confidence among their investors.
50	4	0,394	26	The CEO hosted an urgent meeting to approve the new budget for next	year in order to increase confidence among their investors.	The CEO hosted an urgent meeting to approve the new budget for next year in order to increase confidence among their investors.
51	1	0,295	16	In some of the deepest parts of the ocean, the pressure	is so high that no human can survive without special equipment.	In some of the deepest parts of the ocean, the pressure is so high that no human can survive without special equipment.
51	2	0,394	16	In some parts of the ocean, the pressure	is so high that no human can survive without special equipment.	In some parts of the ocean, the pressure is so high that no human can survive without special equipment.
51	3	0,295	26	In some of the deepest, darkest, and mostly uncharted sections of the ocean, the pressure	is so high that no human can survive without special equipment.	In some of the deepest, darkest, and mostly uncharted sections of the ocean, the pressure is so high that no human can survive without special equipment.
51	4	0,394	26	In some of the deepest and darkest parts of the ocean, the pressure	is so high that no human can survive without special equipment.	In some of the deepest and darkest parts of the ocean, the pressure is so high that no human can survive without special equipment.
52	1	0,295	16	While the man was buying bread in the shop, there was	a huge commotion outside due to the arrival of the celebrity guests.	While the man was buying bread in the shop, there was a huge commotion outside due to the arrival of the celebrity guests.
52	2	0,394	16	While the man was in the shop, there was	a huge commotion outside due to the arrival of the celebrity guests.	While the man was in the shop, there was a huge commotion outside due to the arrival of the celebrity guests.
52	3	0,295	26	While the businessman's assistant was buying groceries and drinks in the shop, there was	a huge commotion outside due to the arrival of the celebrity guests.	While the businessman's assistant was buying groceries and drinks in the shop, there was a huge commotion outside due to the arrival of the celebrity guests.
52	4	0,394	26	While the man was buying groceries and wine in the shop, there was	a huge commotion outside due to the arrival of the celebrity guests.	While the man was buying groceries and wine in the shop, there was a huge commotion outside due to the arrival of the celebrity guests.
53	1	0,295	16	The witty nurse could not find her card at the shopping	mall after searching thoroughly in her bag.	The witty nurse could not find her card at the shopping mall after searching thoroughly in her bag.
53	2	0,394	16	The doctor lost her card at the shopping	mall after searching thoroughly in her bag.	The doctor lost her card at the shopping mall after searching thoroughly in her bag.
53	3	0,295	26	The chief nursing officer realised that she could not find her bank card at the shopping	mall after searching thoroughly in her bag.	The chief nursing officer realised that she could not find her bank card at the shopping mall after searching thoroughly in her bag.
53	4	0,394	26	The nurse realised she couldn't find her bank card at the shopping	mall after searching thoroughly in her bag.	The nurse realised she couldn't find her bank card at the shopping mall after searching thoroughly in her bag.
54	1	0,295	16	Jane and her sister decided to have a surprise birthday	party for a friend at the end of December.	Jane and her sister decided to have a surprise birthday party for a friend at the end of December.
54	2	0,394	16	Jane decided to have a surprise birthday	party for a friend at the end of December.	Jane decided to have a surprise birthday party for a friend at the end of December.
54	3	0,295	26	Jane and her two older brothers and sisters decided together to have a surprise birthday	party for a friend at the end of December.	Jane and her two older brothers and sisters decided together to have a surprise birthday party for a friend at the end of December.
54	4	0,394	26	Jane and her brothers decided together to have a surprise birthday	party for a friend at the end of December.	Jane and her brothers decided together to have a surprise birthday party for a friend at the end of December.
55	1	0,295	16	The businessman brought some yellow coloured dominoes	and was playing with them absent-mindedly.	The businessman brought some yellow coloured dominoes and was playing with them absent-mindedly.
55	2	0,394	16	The man had some yellow coloured dominoes	and was playing with them absent-mindedly.	The man had some yellow coloured dominoes and was playing with them absent-mindedly.
55	3	0,295	26	The businessman, who was very tired that evening, took out some yellow coloured dominoes	and was playing with them absent-mindedly.	The businessman, who was very tired that evening, took out some yellow coloured dominoes and was playing with them absent-mindedly.
55	4	0,394	26	The man, after a long day, took out some yellow coloured dominoes	and was playing with them absent-mindedly.	The man, after a long day, took out some yellow coloured dominoes and was playing with them absent-mindedly.
56	1	0,295	16	While she stood and waited patiently, the truck slowly	pulled over just around the corner.	While she stood and waited patiently, the truck slowly pulled over just around the corner.
56	2	0,394	16	While he sat patiently, the truck slowly	pulled over just around the corner.	While he sat patiently, the truck slowly pulled over just around the corner.
56	3	0,295	26	While the three middle-aged women chattered away and waited patiently, the truck slowly	pulled over just around the corner.	While the three middle-aged women chattered away and waited patiently, the truck slowly pulled over just around the corner.
56	4	0,394	26	While the two women chatted and waited patiently, the truck slowly	pulled over just around the corner.	While the two women chatted and waited patiently, the truck slowly pulled over just around the corner.
57	1	0,295	16	The poor village women expected many crimes to happen	during the long and bloody civil war.	The poor village women expected many crimes to happen during the long and bloody civil war.
57	2	0,394	16	The women expected many crimes to happen	during the long and bloody civil war.	The women expected many crimes to happen during the long and bloody civil war.
57	3	0,295	26	The poor women living outside the large metropolitan city expected many crimes to happen	during the long and bloody civil war.	The poor women living outside the large metropolitan city expected many crimes to happen during the long and bloody civil war.
57	4	0,394	26	The poor women from the large city expected many crimes to happen	during the long and bloody civil war.	The poor women from the large city expected many crimes to happen during the long and bloody civil war.
58	1	0,295	16	The offices in town have windows with venetian blinds	that look very professional from the outside.	The offices in town have windows with venetian blinds that look very professional from the outside.
58	2	0,394	16	The inn has windows with venetian blinds	that look very professional from the outside.	The inn has windows with venetian blinds that look very professional from the outside.
58	3	0,295	26	The fourteen newly built hostel accommodations in town have windows with venetian blinds	that look very professional from the outside.	The fourteen newly built hostel accommodations in town have windows with venetian blinds that look very professional from the outside.
58	4	0,394	26	The newly built offices in town have windows with venetian blinds	that look very professional from the outside.	The newly built offices in town have windows with venetian blinds that look very professional from the outside.
59	1	0,295	16	She is often seen as a brilliant and young entrepreneur	with strong opinions about the economy.	She is often seen as a brilliant and young entrepreneur with strong opinions about the economy.
59	2	0,394	16	She is a brilliant and young entrepreneur	with strong opinions about the economy.	She is a brilliant and young entrepreneur with strong opinions about the economy.
59	3	0,295	26	She very quickly gained popularity around the world as a brilliant and young entrepreneur	with strong opinions about the economy.	She very quickly gained popularity around the world as a brilliant and young entrepreneur with strong opinions about the economy.
59	4	0,394	26	She quickly gained popularity as a brilliant and young entrepreneur	with strong opinions about the economy.	She quickly gained popularity as a brilliant and young entrepreneur with strong opinions about the economy.
60	1	0,295	16	At the fourth annual festival, Tom will be performing a	piano solo to raise money for charity.	At the fourth annual festival, Tom will be performing a piano solo to raise money for charity.
60	2	0,394	16	At the concert, Tom will be performing a	piano solo to raise money for charity.	At the concert, Tom will be performing a piano solo to raise money for charity.
60	3	0,295	26	At the thirty-seventh annual music festival in late September, Tom will be performing a	piano solo to raise money for charity.	At the thirty-seventh annual music festival in late September, Tom will be performing a piano solo to raise money for charity.
60	4	0,394	26	At the seventeenth annual music festival, Tom will be performing a	piano solo to raise money for charity.	At the seventeenth annual music festival, Tom will be performing a piano solo to raise money for charity.
61	1	0,295	16	Dan was happy to sit at his mother’s table for dinner	shortly after the guests had left the house.	Dan was happy to sit at his mother’s table for dinner shortly after the guests had left the house.
61	2	0,394	16	Dan sat at his mother’s table for dinner	shortly after the guests had left the house.	Dan sat at his mother’s table for dinner shortly after the guests had left the house.
61	3	0,295	26	Dan was very excited because he was finally able to sit at his mother’s table for dinner	shortly after the guests had left the house.	Dan was very excited because he was finally able to sit at his mother’s table for dinner shortly after the guests had left the house.
61	4	0,394	26	Dan was excited to be able to sit at his mother’s table for dinner	shortly after the guests had left the house.	Dan was excited to be able to sit at his mother’s table for dinner shortly after the guests had left the house.
62	1	0,295	16	Unlike her sisters, Phillipa is more open and relaxed	when she is around unfamiliar people.	Unlike her sisters, Phillipa is more open and relaxed when she is around unfamiliar people.
62	2	0,394	16	Unlike Phil, she is more open and relaxed	when she is around unfamiliar people.	Unlike Phil, she is more open and relaxed when she is around unfamiliar people.
62	3	0,295	26	Unlike her three sisters who live down south, Phillipa is usually more open and relaxed	when she is around unfamiliar people.	Unlike her three sisters who live down south, Phillipa is usually more open and relaxed when she is around unfamiliar people.
62	4	0,394	26	Unlike her two younger sisters, Phillipa is more open and relaxed	when she is around unfamiliar people.	Unlike her two younger sisters, Phillipa is more open and relaxed when she is around unfamiliar people.
63	1	0,295	16	While the two young children were playing in the park,	their parents were talking about last night's football game.	While the two young children were playing in the park, their parents were talking about last night's football game.
63	2	0,394	16	While the boys were playing in the park,	their parents were talking about last night's football game.	While the boys were playing in the park, their parents were talking about last night's football game.
63	3	0,295	26	While the young sisters and their friends were having a lot of fun playing in the park,	their parents were talking about last night's football game.	While the young sisters and their friends were having a lot of fun playing in the park, their parents were talking about last night's football game.
63	4	0,394	26	While the young boys were having a lot of fun playing in the park,	their parents were talking about last night's football game.	While the young boys were having a lot of fun playing in the park, their parents were talking about last night's football game.
64	1	0,295	16	The office secretary was more friendly and apologetic	after she discovered that she may get in trouble with her manager.	The office secretary was more friendly and apologetic after she discovered that she may get in trouble with her manager.
64	2	0,394	16	The lady was more friendly and apologetic	after she discovered that she may get in trouble with her manager.	The lady was more friendly and apologetic after she discovered that she may get in trouble with her manager.
64	3	0,295	26	The newly hired departmental secretary became increasingly more friendly and apologetic	after she discovered that she may get in trouble with her manager.	The newly hired departmental secretary became increasingly more friendly and apologetic after she discovered that she may get in trouble with her manager.
64	4	0,394	26	The newly hired office secretary was more friendly and apologetic	after she discovered that she may get in trouble with her manager.	The newly hired office secretary was more friendly and apologetic after she discovered that she may get in trouble with her manager.
65	1	0,295	16	He usually thought a lot about the huge difference that	his charity work would make if he could raise more money.	He usually thought a lot about the huge difference that his charity work would make if he could raise more money.
65	2	0,394	16	He thought about the huge difference that	his charity work would make if he could raise more money.	He thought about the huge difference that his charity work would make if he could raise more money.
65	3	0,295	26	He couldn't stop thinking towards the end of the campaign about the huge difference that	his charity work would make if he could raise more money.	He couldn't stop thinking towards the end of the campaign about the huge difference that his charity work would make if he could raise more money.
65	4	0,394	26	He could not stop thinking that day about the huge difference that	his charity work would make if he could raise more money.	He could not stop thinking that day about the huge difference that his charity work would make if he could raise more money.
66	1	0,295	16	Despite his long list of crimes, the old burglar spent	only three years in prison because he received a lenient sentence.	Despite his long list of crimes, the old burglar spent only three years in prison because he received a lenient sentence.
66	2	0,394	16	Despite his crimes, the old burglar spent	only three years in prison because he received a lenient sentence.	Despite his crimes, the old burglar spent only three years in prison because he received a lenient sentence.
66	3	0,295	26	Despite committing a large number of crimes all over the big city, the old burglar spent	only three years in prison because he received a lenient sentence.	Despite committing a large number of crimes all over the big city, the old burglar spent only three years in prison because he received a lenient sentence.
66	4	0,394	26	Despite committing crimes all over the city, the old burglar spent	only three years in prison because he received a lenient sentence.	Despite committing crimes all over the city, the old burglar spent only three years in prison because he received a lenient sentence.
67	1	0,295	16	Though Sammy was very delighted, he was a little uneasy	that he had just married the criminal's daughter.	Though Sammy was very delighted, he was a little uneasy that he had just married the criminal's daughter.
67	2	0,394	16	Though cheerful, Sam was a little uneasy	that he had just married the criminal's daughter.	Though cheerful, Sam was a little uneasy that he had just married the criminal's daughter.
67	3	0,295	26	Though Sammy was understandably delighted to see his pretty bride, he was a little uneasy	that he had just married the criminal's daughter.	Though Sammy was understandably delighted to see his pretty bride, he was a little uneasy that he had just married the criminal's daughter.
67	4	0,394	26	Though Sammy was delighted to see his bride, he was a little uneasy	that he had just married the criminal's daughter.	Though Sammy was delighted to see his bride, he was a little uneasy that he had just married the criminal's daughter.
68	1	0,295	16	The West National Zoo has a very high white iron fence	that is designed to keep all the animals safe.	The West National Zoo has a very high white iron fence that is designed to keep all the animals safe.
68	2	0,394	16	The zoo has a very high white iron fence	that is designed to keep all the animals safe.	The zoo has a very high white iron fence that is designed to keep all the animals safe.
68	3	0,295	26	The National Zoo, which is just next to the history museum, has a high white iron fence	that is designed to keep all the animals safe.	The National Zoo, which is just next to the history museum, has a high white iron fence that is designed to keep all the animals safe.
68	4	0,394	26	The National Zoo near the museum has a very high white iron fence	that is designed to keep all the animals safe.	The National Zoo near the museum has a very high white iron fence that is designed to keep all the animals safe.
69	1	0,295	16	One quick look at the old man revealed how glum he was	after he heard about the demise of the famous social advocate. 	One quick look at the old man revealed how glum he was after he heard about the demise of the famous social advocate. 
69	2	0,394	16	One look at him revealed how glum he was	after he heard about the demise of the famous social advocate. 	One look at him revealed how glum he was after he heard about the demise of the famous social advocate. 
69	3	0,295	26	One quick glance at the elderly pensioner with the red raincoat revealed how glum he was	after he heard about the demise of the famous social advocate. 	One quick glance at the elderly pensioner with the red raincoat revealed how glum he was after he heard about the demise of the famous social advocate. 
69	4	0,394	26	One quick glance at the pensioner close by revealed how glum he was	after he heard about the demise of the famous social advocate. 	One quick glance at the pensioner close by revealed how glum he was after he heard about the demise of the famous social advocate. 
70	1	0,295	16	Our grandparents from Scotland were usually less strict	than our mother and would often let us play outside for hours.	Our grandparents from Scotland were usually less strict than our mother and would often let us play outside for hours.
70	2	0,394	16	Our grandparents were usually less strict	than our mother and would often let us play outside for hours.	Our grandparents were usually less strict than our mother and would often let us play outside for hours.
70	3	0,295	26	Our grandparents, who used to live in the countryside of Wales, were usually less strict	than our mother and would often let us play outside for hours.	Our grandparents, who used to live in the countryside of Wales, were usually less strict than our mother and would often let us play outside for hours.
70	4	0,394	26	Our two aunts from the Welsh countryside were usually less strict	than our mother and would often let us play outside for hours.	Our two aunts from the Welsh countryside were usually less strict than our mother and would often let us play outside for hours.
71	1	0,295	16	The shameless young man had no patience with the woman	who had accidentally fallen on the icy road.	The shameless young man had no patience with the woman who had accidentally fallen on the icy road.
71	2	0,394	16	The worker had no patience with the woman	who had accidentally fallen on the icy road.	The worker had no patience with the woman who had accidentally fallen on the icy road.
71	3	0,295	26	The shameless young man who was already very late for work had no patience with the woman	who had accidentally fallen on the icy road.	The shameless young man who was already very late for work had no patience with the woman who had accidentally fallen on the icy road.
71	4	0,394	26	The shameless young man showed very little patience with the woman	who had accidentally fallen on the icy road.	The shameless young man showed very little patience with the woman who had accidentally fallen on the icy road.
72	1	0,295	16	Although the new director's wife spoke very clearly and	fluently, many of her words were unintelligible in the background chatter of the party.	Although the new director's wife spoke very clearly and fluently, many of her words were unintelligible in the background chatter of the party.
72	2	0,394	16	Although his wife spoke very clearly and	fluently, many of her words were unintelligible in the background chatter of the party.	Although his wife spoke very clearly and fluently, many of her words were unintelligible in the background chatter of the party.
72	3	0,295	26	Although the young wife of the new director of business operations spoke very clearly and	fluently, many of her words were unintelligible in the background chatter of the party.	Although the young wife of the new director of business operations spoke very clearly and fluently, many of her words were unintelligible in the background chatter of the party.
72	4	0,394	26	Although the wife of the business director spoke very clearly and	fluently, many of her words were unintelligible in the background chatter of the party.	Although the wife of the business director spoke very clearly and fluently, many of her words were unintelligible in the background chatter of the party.
73	1	0,295	16	Most of the important life decisions that Mary made for	her family were based on a deep understanding of her ancestry.	Most of the important life decisions that Mary made for her family were based on a deep understanding of her ancestry.
73	2	0,394	16	Most of the decisions that Mary made for	her family were based on a deep understanding of her ancestry.	Most of the decisions that Mary made for her family were based on a deep understanding of her ancestry.
73	3	0,295	26	Most of the difficult life choices and important personal commitments that Mary made for	her family were based on a deep understanding of her ancestry.	Most of the difficult life choices and important personal commitments that Mary made for her family were based on a deep understanding of her ancestry.
73	4	0,394	26	Most of the important decisions and commitments that Mary made for	her family were based on a deep understanding of her ancestry.	Most of the important decisions and commitments that Mary made for her family were based on a deep understanding of her ancestry.
74	1	0,295	16	The funny clown slowly left the stage after receiving	a big round of applause for his excellent performance.	The funny clown slowly left the stage after receiving a big round of applause for his excellent performance.
74	2	0,394	16	The clown left the stage after receiving	a big round of applause for his excellent performance.	The clown left the stage after receiving a big round of applause for his excellent performance.
74	3	0,295	26	The slightly eccentric but very entertaining clown slowly left the stage after receiving	a big round of applause for his excellent performance.	The slightly eccentric but very entertaining clown slowly left the stage after receiving a big round of applause for his excellent performance.
74	4	0,394	26	The slightly eccentric clown slowly left the stage after receiving	a big round of applause for his excellent performance.	The slightly eccentric clown slowly left the stage after receiving a big round of applause for his excellent performance.
75	1	0,295	16	The men and women planned many new trips and adventures	during the long winter months when they had to focus on their work.	The men and women planned many new trips and adventures during the long winter months when they had to focus on their work.
75	2	0,394	16	The men planned new trips and adventures	during the long winter months when they had to focus on their work.	The men planned new trips and adventures during the long winter months when they had to focus on their work.
75	3	0,295	26	The group of women, who met during the summer holidays, planned new trips and adventures	during the long winter months when they had to focus on their work.	The group of women, who met during the summer holidays, planned new trips and adventures during the long winter months when they had to focus on their work.
75	4	0,394	26	The group of men and women eagerly planned new trips and adventures	during the long winter months when they had to focus on their work.	The group of men and women eagerly planned new trips and adventures during the long winter months when they had to focus on their work.
76	1	0,295	16	The detailed information they had about everyone’s life	on the ship was quite extraordinary.	The detailed information they had about everyone’s life on the ship was quite extraordinary.
76	2	0,394	16	The facts they had about everyone’s life	on the ship was quite extraordinary.	The facts they had about everyone’s life on the ship was quite extraordinary.
76	3	0,295	26	The extensive information and photographic materials that they had about everyone’s life	on the ship was quite extraordinary.	The extensive information and photographic materials that they had about everyone’s life on the ship was quite extraordinary.
76	4	0,394	26	The information and trivial details they had about everyone’s life	on the ship was quite extraordinary.	The information and trivial details they had about everyone’s life on the ship was quite extraordinary.
77	1	0,295	16	Mrs. Bennett tactfully excused herself from the event	because she needed to attend an urgent meeting.	Mrs. Bennett tactfully excused herself from the event because she needed to attend an urgent meeting.
77	2	0,394	16	Mrs. Bell excused herself from the event	because she needed to attend an urgent meeting.	Mrs. Bell excused herself from the event because she needed to attend an urgent meeting.
77	3	0,295	26	Mrs. Bennett, the party leader, had no other option but to excuse herself from the event	because she needed to attend an urgent meeting.	Mrs. Bennett, the party leader, had no other option but to excuse herself from the event because she needed to attend an urgent meeting.
77	4	0,394	26	Mrs. Bell had no other option but to excuse herself from the event	because she needed to attend an urgent meeting.	Mrs. Bell had no other option but to excuse herself from the event because she needed to attend an urgent meeting.
78	1	0,295	16	The tall and athletic detective had been invited from	France in order to help out with the international investigation.	The tall and athletic detective had been invited from France in order to help out with the international investigation.
78	2	0,394	16	The tall detective had been invited from	France in order to help out with the international investigation.	The tall detective had been invited from France in order to help out with the international investigation.
78	3	0,295	26	The short and athletic detective who spoke with a distinct accent had been invited from	France in order to help out with the international investigation.	The short and athletic detective who spoke with a distinct accent had been invited from France in order to help out with the international investigation.
78	4	0,394	26	The detective who spoke with a foreign accent had been invited from	France in order to help out with the international investigation.	The detective who spoke with a foreign accent had been invited from France in order to help out with the international investigation.
79	1	0,295	16	The much-anticipated TV series will follow the life of	the royal family during the Middle Ages.	The much-anticipated TV series will follow the life of the royal family during the Middle Ages.
79	2	0,394	16	The new TV series will follow the life of	the royal family during the Middle Ages.	The new TV series will follow the life of the royal family during the Middle Ages.
79	3	0,295	26	The new and much-anticipated TV series will feature famous actors and follow the life of	the royal family during the Middle Ages.	The new and much-anticipated TV series will feature famous actors and follow the life of the royal family during the Middle Ages.
79	4	0,394	26	The new TV series will feature famous actors and follow the life of	the royal family during the Middle Ages.	The new TV series will feature famous actors and follow the life of the royal family during the Middle Ages.
80	1	0,295	16	The steel door opened slowly and the guard let the men	inside the restricted section of the government building.	The steel door opened slowly and the guard let the men inside the restricted section of the government building.
80	2	0,394	16	The door opened and the guard let the men	inside the restricted section of the government building.	The door opened and the guard let the men inside the restricted section of the government building.
80	3	0,295	26	The steel security door at the end of the hallway opened slowly and the guard let the men	inside the restricted section of the government building.	The steel security door at the end of the hallway opened slowly and the guard let the men inside the restricted section of the government building.
80	4	0,394	26	The door at the end of the hallway opened and the guard let the men	inside the restricted section of the government building.	The door at the end of the hallway opened and the guard let the men inside the restricted section of the government building.
81	1	0,295	16	The adventurous woman felt very weak after the illness	that she picked up while visiting Southeast Asia.	The adventurous woman felt very weak after the illness that she picked up while visiting Southeast Asia.
81	2	0,394	16	The girl felt very weak after the illness	that she picked up while visiting Southeast Asia.	The girl felt very weak after the illness that she picked up while visiting Southeast Asia.
81	3	0,295	26	The adventurous woman had to cancel her next trip as she felt very weak after the illness	that she picked up while visiting Southeast Asia.	The adventurous woman had to cancel her next trip as she felt very weak after the illness that she picked up while visiting Southeast Asia.
81	4	0,394	26	The girl cancelled her trip as she felt very weak after the illness	that she picked up while visiting Southeast Asia.	The girl cancelled her trip as she felt very weak after the illness that she picked up while visiting Southeast Asia.
82	1	0,295	16	The two pizzeria cooks were expecting the city plumber	to come and fix the blockage in the pipes.	The two pizzeria cooks were expecting the city plumber to come and fix the blockage in the pipes.
82	2	0,394	16	The cooks were expecting the city plumber	to come and fix the blockage in the pipes.	The cooks were expecting the city plumber to come and fix the blockage in the pipes.
82	3	0,295	26	The three cooks from the five-star celebrity restaurant were expecting the city plumber	to come and fix the blockage in the pipes.	The three cooks from the five-star celebrity restaurant were expecting the city plumber to come and fix the blockage in the pipes.
82	4	0,394	26	The three cooks from the restaurant were expecting the city plumber	to come and fix the blockage in the pipes.	The three cooks from the restaurant were expecting the city plumber to come and fix the blockage in the pipes.
83	1	0,295	16	As Bill woke up and looked through the window, he saw	his friend running to catch the bus.	As Bill woke up and looked through the window, he saw his friend running to catch the bus.
83	2	0,394	16	As Bill looked through the window, he saw	his friend running to catch the bus.	As Bill looked through the window, he saw his friend running to catch the bus.
83	3	0,295	26	As Benjamin Brookfield woke up early in the morning and looked through the window, he saw	his friend running to catch the bus.	As Benjamin Brookfield woke up early in the morning and looked through the window, he saw his friend running to catch the bus.
83	4	0,394	26	As Bill woke up that morning and looked through the window, he saw	his friend running to catch the bus.	As Bill woke up that morning and looked through the window, he saw his friend running to catch the bus.
84	1	0,295	16	Sam was very happy to learn that he was selected as one	of the five students who will represent his country at the international competition.	Sam was very happy to learn that he was selected as one of the five students who will represent his country at the international competition.
84	2	0,394	16	Sam found out that he was selected as one	of the five students who will represent his country at the international competition.	Sam found out that he was selected as one of the five students who will represent his country at the international competition.
84	3	0,295	26	Sam was understandably very delighted when he first learned that he was selected as one	of the five students who will represent his country at the international competition.	Sam was understandably very delighted when he first learned that he was selected as one of the five students who will represent his country at the international competition.
84	4	0,394	26	Sam was very delighted when he learned that he was selected as one	of the five students who will represent his country at the international competition.	Sam was very delighted when he learned that he was selected as one of the five students who will represent his country at the international competition.
85	1	0,295	16	The old mountain village received so few visitors that	people were genuinely surprised to see any strangers there.	The old mountain village received so few visitors that people were genuinely surprised to see any strangers there.
85	2	0,394	16	The village received so few visitors that	people were genuinely surprised to see any strangers there.	The village received so few visitors that people were genuinely surprised to see any strangers there.
85	3	0,295	26	The picturesque small village located near the mountain top received so few visitors that	people were genuinely surprised to see any strangers there.	The picturesque small village located near the mountain top received so few visitors that people were genuinely surprised to see any strangers there.
85	4	0,394	26	The picturesque village near the lake received so few visitors that	people were genuinely surprised to see any strangers there.	The picturesque village near the lake received so few visitors that people were genuinely surprised to see any strangers there.
86	1	0,295	16	When the two brothers stared at the sky, they noticed	the stars were unusually bright that night.	When the two brothers stared at the sky, they noticed the stars were unusually bright that night.
86	2	0,394	16	When they stared at the sky, they noticed	the stars were unusually bright that night.	When they stared at the sky, they noticed the stars were unusually bright that night.
86	3	0,295	26	When Henry and his two brothers stopped at the peak and stared at the sky, they noticed	the stars were unusually bright that night.	When Henry and his two brothers stopped at the peak and stared at the sky, they noticed the stars were unusually bright that night.
86	4	0,394	26	When they stopped at the peak and stared at the sky, they noticed	the stars were unusually bright that night.	When they stopped at the peak and stared at the sky, they noticed the stars were unusually bright that night.
87	1	0,295	16	After she finished breakfast, Emilia prepared for her	piano lessons and then went to the gym.	After she finished breakfast, Emilia prepared for her piano lessons and then went to the gym.
87	2	0,394	16	After breakfast, Emilia prepared for her	piano lessons and then went to the gym.	After breakfast, Emilia prepared for her piano lessons and then went to the gym.
87	3	0,295	26	After she finished breakfast and helped her mum wash the dishes, Emilia prepared for her	piano lessons and then went to the gym.	After she finished breakfast and helped her mum wash the dishes, Emilia prepared for her piano lessons and then went to the gym.
87	4	0,394	26	After she woke up and finished breakfast, Emilia prepared for her	piano lessons and then went to the gym.	After she woke up and finished breakfast, Emilia prepared for her piano lessons and then went to the gym.
88	1	0,295	16	The experienced lawyer kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	The experienced lawyer kept changing the topic in the hope that the incriminating evidence would go unnoticed.
